time,Wind_speed,Wind_dir,Visibility,Temperature,dewpoint,Humidity
2021-11-02 14:20,1.9673926,226.13852,18603.379,289.49512,280.46542,93.07731
2021-11-02 14:40,0.9471771,243.43977,13228.947,288.61005,280.28424,97.20945
2021-11-02 15:00,1.6363431,180.68079,15217.578,288.42712,280.10278,96.012886
2021-11-02 15:20,1.8918875,174.12408,15921.676,288.36133,280.0525,95.3928
2021-11-02 15:40,0.989009,194.18385,15968.9,287.84265,279.93646,95.414825
2021-11-02 16:00,2.293697,280.02597,14768.821,287.78818,279.7077,96.24847
2021-11-02 16:20,0.95636463,282.46436,16322.906,288.19482,279.56372,95.20716
2021-11-02 16:40,0.9626971,282.28067,25126.004,291.23462,280.07904,78.020744
2021-11-02 17:00,1.0231519,295.73123,27969.734,295.6441,280.01575,56.045418
2021-11-02 17:20,1.6016117,342.15228,29271.28,299.36478,277.52002,33.04725
2021-11-02 17:40,1.8949414,342.4652,29662.955,300.97913,276.68118,22.754286
2021-11-02 18:00,2.3369029,314.6322,29767.717,302.03394,277.08936,19.5625
2021-11-02 18:20,3.349212,309.9983,29846.883,302.66708,276.61905,17.136251
2021-11-02 18:40,3.8299973,308.89148,29869.883,302.78424,276.4199,16.480492
2021-11-02 19:00,3.6705685,306.83713,29861.074,302.41486,279.26126,16.8125
2021-11-02 19:20,2.6181624,290.43546,29373.455,300.31033,286.08057,30.142168
2021-11-02 19:40,2.2489026,239.01543,27395.162,296.52145,283.20563,62.06529
2021-11-02 20:00,2.2876775,216.54707,26100.219,294.11,282.60934,72.70753
2021-11-02 20:20,2.4501586,205.33705,25618.18,292.59326,282.4789,75.438576
2021-11-02 20:40,2.3446429,210.96663,25219.346,291.5584,282.5019,77.45004
2021-11-02 21:00,2.0608408,222.39047,24459.496,290.77655,282.25775,80.55151
2021-11-02 21:20,2.3767333,213.52003,24466.07,290.2448,282.2311,80.44112
2021-11-02 21:40,2.3784668,211.26381,24516.223,289.67297,282.12823,80.204605
2021-11-02 22:00,2.292277,223.50777,24442.1,289.3,281.29224,80.51796
2021-11-02 22:20,2.215027,214.69482,24043.076,288.87674,280.3205,81.9551
2021-11-02 22:40,1.9126761,223.97787,23347.207,288.4233,279.5796,84.234436
2021-11-02 23:00,1.9268726,227.6115,22949,288.08734,278.2903,85.364815
2021-11-02 23:20,2.2968051,232.53134,22515.91,287.65417,277.55695,86.36828
2021-11-02 23:40,2.3369775,222.21053,21395.006,287.0428,277.20395,88.87183
2021-11-03 00:00,2.235105,140.99629,23434.42,291.1514,278.53552,84.20133
2021-11-03 00:20,1.8261347,153.58429,24214.297,291.37506,278.40363,81.652954
2021-11-03 00:40,2.2876992,180.289,26871.832,294.24677,278.9093,67.29305
2021-11-03 01:00,2.8824499,190.68994,28167.607,297.39343,279.38147,53.424282
2021-11-03 01:20,3.3993196,197.92094,28743.104,299.4944,278.6211,44.122612
2021-11-03 01:40,3.406194,206.07089,29053.756,300.8553,277.10498,37.944496
2021-11-03 02:00,2.788743,232.04588,29197.398,301.7725,274.8418,34.65484
2021-11-03 02:20,2.8042598,256.76917,29306.725,302.23785,273.46008,32.125
2021-11-03 02:40,2.7219648,260.09296,29435.664,302.40598,272.06537,28.84375
2021-11-03 03:00,1.9747547,260.58823,29422.992,302.14932,272.04562,29.177378
2021-11-03 03:20,0.19068119,165.15044,27989.336,300.14877,276.41403,55.363934
2021-11-03 03:40,2.2053008,148.38643,25501.33,297.57877,280.92853,76.071106
2021-11-03 04:00,2.7095025,144.11914,25917.123,295.88754,280.59695,73.84036
2021-11-03 04:20,2.62449,153.00864,26467.76,294.85822,281.11877,70.33761
2021-11-03 04:40,2.6060987,165.58618,26245,294.242,281.8543,71.789085
2021-11-03 05:00,2.5546575,174.15926,25358.316,293.32825,281.49695,76.88106
2021-11-03 05:20,2.4098868,183.78387,24847.426,292.54596,281.02057,79.15013
2021-11-03 05:40,2.984036,311.69812,23039.025,291.66858,280.43503,85.25147
2021-11-03 06:00,1.722314,162.50243,19057.082,290.79956,279.65634,92.53327
2021-11-03 06:20,1.9247763,163.3401,20931,290.2079,279.06256,89.77695
2021-11-03 06:40,2.4254916,200.67911,22631.992,289.8977,279.03476,86.329895
2021-11-03 07:00,2.542027,219.8881,23590.225,289.39908,279.1064,83.6585
2021-11-03 07:20,2.6784656,251.39249,23832.29,288.75153,278.90268,82.83829
2021-11-03 07:40,1.1067188,173.80685,17663.389,287.98303,278.52417,93.98235
2021-11-03 08:00,1.8031358,263.56647,19022.756,287.6372,278.14346,92.543
2021-11-03 08:20,1.1281153,236.16678,21952.525,288.29822,277.99963,87.7984
