time,time,Wind_speed,Wind_dir,Visibility,Temperature,dewpoint,Humidity
2021-11-02 02:00:00,2021-11-02 02:00:00,3.5959318,161.4279,29191.904,28.42333000000002,1.6918000000000006,34.9375
2021-11-02 02:20:00,2021-11-02 02:20:00,2.906439,169.79771,29300.293,29.168000000000006,0.31008000000002767,32.21875
2021-11-02 02:40:00,2021-11-02 02:40:00,2.7668903,183.29855,29345.338,29.383020000000045,1.0846300000000042,31.157856
2021-11-02 03:00:00,2021-11-02 03:00:00,2.5534775,186.1309,29320.47,29.05612000000002,1.104379999999992,31.754196
2021-11-02 03:20:00,2021-11-02 03:20:00,1.9950364,143.6432,28265.66,27.280100000000004,3.264030000000048,51.533047
2021-11-02 03:40:00,2021-11-02 03:40:00,2.5488782,121.0518,26336.748,24.384240000000034,7.778530000000046,71.10823
2021-11-02 04:00:00,2021-11-02 04:00:00,3.0808525,118.78213,26479.266,22.59268000000003,7.446950000000015,70.27106
2021-11-02 04:20:00,2021-11-02 04:20:00,3.51661,117.51442,26634.492,21.89816000000002,7.968770000000006,69.2332
2021-11-02 04:40:00,2021-11-02 04:40:00,3.6985722,115.78866,26467.314,21.34847000000002,8.704300000000046,70.3398
2021-11-02 05:00:00,2021-11-02 05:00:00,3.4082465,115.52851,26266.254,20.52352000000002,8.34695000000005,71.70604
2021-11-02 05:20:00,2021-11-02 05:20:00,3.237321,111.68302,25856.475,19.70583000000005,7.870570000000043,74.16652
2021-11-02 05:40:00,2021-11-02 05:40:00,2.9914048,96.46569,24805.875,18.920680000000004,7.285030000000006,79.37949
2021-11-02 06:00:00,2021-11-02 06:00:00,2.7537751,109.54704,23668.0,18.274380000000008,6.506340000000023,83.435165
2021-11-02 06:20:00,2021-11-02 06:20:00,2.3432436,121.005035,22980.682,17.560879999999997,5.912560000000042,85.392845
2021-11-02 06:40:00,2021-11-02 06:40:00,2.557991,140.38838,23689.25,17.083060000000046,5.884760000000028,83.38979
2021-11-02 07:00:00,2021-11-02 07:00:00,2.052821,116.68866,23569.139,16.577480000000037,5.956400000000031,83.73228
2021-11-02 07:20:00,2021-11-02 07:20:00,2.2989554,138.03444,24926.725,17.091030000000046,5.752679999999998,78.84477
2021-11-02 07:40:00,2021-11-02 07:40:00,2.0962396,125.46025,24494.643,16.66332,5.374170000000049,80.6188
2021-11-02 08:00:00,2021-11-02 08:00:00,2.2659204,120.58509,22644.436,15.9769,4.993460000000027,86.33093
2021-11-02 08:20:00,2021-11-02 08:20:00,2.1141236,129.64537,24992.033,16.984830000000045,4.849630000000047,78.4821
2021-11-02 08:40:00,2021-11-02 08:40:00,1.8050699,140.5015,27285.33,19.66342000000003,5.025959999999998,63.553745
2021-11-02 09:00:00,2021-11-02 09:00:00,1.5864099,86.55019,28034.484,22.086820000000046,5.043360000000007,55.258987
2021-11-02 09:20:00,2021-11-02 09:20:00,1.0312555,72.495674,28590.205,24.65807000000001,4.145650000000046,46.894535
2021-11-02 09:40:00,2021-11-02 09:40:00,2.0415587,41.21608,28873.168,25.805319999999995,2.8657200000000103,41.547607
2021-11-02 10:00:00,2021-11-02 10:00:00,0.76254684,77.59009,29126.71,27.102930000000015,2.303250000000048,36.26658
2021-11-02 10:20:00,2021-11-02 10:20:00,1.1789927,218.79683,29303.236,28.146000000000015,2.359550000000013,32.233482
2021-11-02 10:40:00,2021-11-02 10:40:00,1.7246243,244.07397,29371.389,28.42697000000004,2.7417200000000435,30.46899
2021-11-02 11:00:00,2021-11-02 11:00:00,1.2253788,263.12317,29326.719,28.237450000000024,3.100030000000004,31.59375
2021-11-02 11:20:00,2021-11-02 11:20:00,1.8089262,268.5283,28558.707,26.877830000000017,5.6138200000000325,47.09375
2021-11-02 11:40:00,2021-11-02 11:40:00,2.1872418,260.6946,26485.818,23.804700000000025,9.058680000000038,70.0625
2021-11-02 12:00:00,2021-11-02 12:00:00,2.5071797,328.77377,25831.47,22.142899999999997,8.964320000000043,74.34485
2021-11-02 12:20:00,2021-11-02 12:20:00,2.280093,39.46115,25935.834,21.255640000000028,9.256280000000004,73.763
2021-11-02 12:40:00,2021-11-02 12:40:00,1.9609827,349.51782,24806.115,20.330100000000016,10.19380000000001,79.28657
2021-11-02 13:00:00,2021-11-02 13:00:00,1.6722984,62.57376,23021.85,19.48394000000002,9.464750000000038,85.29434
2021-11-02 13:20:00,2021-11-02 13:20:00,1.448619,86.83488,21062.475,18.532129999999995,8.818750000000023,89.49792
2021-11-02 13:40:00,2021-11-02 13:40:00,1.0391442,186.95663,18888.451,17.50237000000004,8.09005000000002,92.74255
2021-11-02 14:00:00,2021-11-02 14:00:00,2.095441,222.95233,20978.617,17.43270000000001,7.435820000000035,89.67446
2021-11-02 14:20:00,2021-11-02 14:20:00,1.9673926,226.13852,18603.379,16.34512000000001,7.315420000000017,93.07731
2021-11-02 14:40:00,2021-11-02 14:40:00,0.9471771,243.43977,13228.947,15.460050000000024,7.134240000000034,97.20945
2021-11-02 15:00:00,2021-11-02 15:00:00,1.6363431,180.68079,15217.578,15.277120000000025,6.952780000000018,96.012886
2021-11-02 15:20:00,2021-11-02 15:20:00,1.8918875,174.12408,15921.676,15.211330000000032,6.902500000000032,95.3928
2021-11-02 15:40:00,2021-11-02 15:40:00,0.989009,194.18385,15968.9,14.692650000000015,6.786460000000034,95.414825
